T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
347.0,331.0,323.0,307.0,295.0,279.0,267.0,251.0,243.0,227.0,219.0,203.0,195.0,179.0,171.0,159.0,147.0,131.0,123.0,107.0,99.0,83.0,71.0,51.0,43.0,19.0,7.0,-9.0,-17.0,-33.0,-41.0,-33.0,-33.0,-37.0,-49.0,-57.0,-61.0,-57.0,-53.0,-49.0,-45.0,-41.0,-41.0,-29.0,-25.0,-17.0,-9.0,-5.0,-5.0,-1.0,31,0
298.0,290.0,278.0,266.0,254.0,242.0,226.0,218.0,202.0,194.0,178.0,170.0,154.0,146.0,130.0,118.0,106.0,94.0,78.0,66.0,50.0,42.0,22.0,10.0,-6.0,-18.0,-30.0,-30.0,-34.0,-38.0,-42.0,-34.0,-30.0,-38.0,-42.0,-50.0,-62.0,-62.0,-58.0,-58.0,-54.0,-54.0,-50.0,-46.0,-46.0,-46.0,-42.0,-38.0,-34.0,-30.0,33,0
284.5,272.5,264.5,248.5,240.5,224.5,216.5,200.5,192.5,176.5,168.5,156.5,148.5,132.5,120.5,108.5,100.5,84.5,76.5,60.5,48.5,32.5,16.5,0.5,-11.5,-23.5,-31.5,-35.5,-39.5,-43.5,-47.5,-35.5,-27.5,-39.5,-43.5,-39.5,-39.5,-35.5,-31.5,-23.5,-23.5,-19.5,-19.5,-19.5,-15.5,-15.5,-11.5,-11.5,-11.5,-7.5,33,0
373.0,365.0,349.0,341.0,329.0,317.0,301.0,293.0,277.0,269.0,257.0,245.0,229.0,221.0,205.0,197.0,181.0,169.0,157.0,145.0,133.0,121.0,105.0,97.0,77.0,69.0,49.0,37.0,17.0,1.0,-23.0,-31.0,-27.0,-23.0,-27.0,-39.0,-51.0,-51.0,-51.0,-47.0,-47.0,-43.0,-39.0,-39.0,-35.0,-31.0,-23.0,-19.0,-11.0,-11.0,32,0
298.0,286.0,274.0,262.0,250.0,238.0,230.0,218.0,206.0,194.0,182.0,170.0,162.0,146.0,138.0,122.0,110.0,98.0,90.0,74.0,62.0,50.0,38.0,22.0,10.0,-2.0,-10.0,-22.0,-26.0,-34.0,-34.0,-34.0,-22.0,-26.0,-30.0,-30.0,-38.0,-50.0,-50.0,-46.0,-46.0,-42.0,-38.0,-34.0,-34.0,-30.0,-30.0,-22.0,-18.0,-10.0,34,0
337.0,321.0,313.0,297.0,285.0,269.0,257.0,241.0,229.0,217.0,209.0,193.0,181.0,169.0,161.0,145.0,137.0,125.0,113.0,101.0,89.0,77.0,65.0,49.0,37.0,17.0,1.0,-15.0,-27.0,-35.0,-31.0,-27.0,-15.0,-23.0,-27.0,-27.0,-39.0,-47.0,-47.0,-43.0,-43.0,-39.0,-39.0,-35.0,-31.0,-31.0,-31.0,-27.0,-23.0,-19.0,33,0
340.0,324.0,312.0,296.0,284.0,272.0,260.0,248.0,236.0,228.0,216.0,204.0,192.0,180.0,164.0,152.0,144.0,128.0,116.0,104.0,92.0,76.0,64.0,48.0,40.0,20.0,0.0,-12.0,-20.0,-36.0,-44.0,-36.0,-32.0,-36.0,-36.0,-44.0,-60.0,-60.0,-60.0,-60.0,-56.0,-48.0,-48.0,-48.0,-48.0,-44.0,-40.0,-36.0,-28.0,-20.0,33,0
326.0,310.0,302.0,286.0,278.0,266.0,258.0,246.0,234.0,222.0,214.0,198.0,190.0,178.0,166.0,154.0,146.0,130.0,122.0,110.0,98.0,86.0,78.0,62.0,50.0,34.0,18.0,-2.0,-10.0,-22.0,-30.0,-34.0,-26.0,-10.0,-14.0,-22.0,-26.0,-38.0,-46.0,-38.0,-34.0,-30.0,-26.0,-22.0,-22.0,-18.0,-10.0,-2.0,6.0,14.0,33,0
309.5,293.5,285.5,269.5,261.5,249.5,241.5,225.5,217.5,205.5,197.5,181.5,173.5,161.5,149.5,137.5,125.5,113.5,101.5,85.5,77.5,61.5,49.5,29.5,17.5,1.5,-10.5,-22.5,-22.5,-26.5,-26.5,-22.5,-14.5,-14.5,-18.5,-22.5,-30.5,-34.5,-34.5,-30.5,-26.5,-18.5,-18.5,-14.5,-14.5,-6.5,1.5,9.5,17.5,25.5,33,0
353.5,341.5,329.5,317.5,309.5,293.5,285.5,273.5,265.5,249.5,241.5,225.5,217.5,201.5,193.5,177.5,161.5,145.5,133.5,113.5,101.5,85.5,69.5,49.5,37.5,17.5,5.5,-6.5,-14.5,-18.5,-26.5,-22.5,-18.5,-14.5,-6.5,-18.5,-22.5,-38.5,-38.5,-34.5,-34.5,-26.5,-30.5,-22.5,-22.5,-18.5,-14.5,-6.5,-2.5,5.5,33,0
395.0,387.0,367.0,359.0,343.0,331.0,315.0,303.0,287.0,275.0,259.0,247.0,231.0,223.0,207.0,199.0,179.0,167.0,151.0,139.0,123.0,111.0,95.0,83.0,63.0,51.0,27.0,15.0,-9.0,-21.0,-29.0,-29.0,-21.0,-25.0,-29.0,-25.0,-41.0,-49.0,-41.0,-41.0,-37.0,-33.0,-33.0,-29.0,-25.0,-21.0,-17.0,-9.0,-1.0,3.0,33,0
328.5,316.5,300.5,292.5,280.5,268.5,256.5,248.5,232.5,224.5,212.5,200.5,188.5,180.5,164.5,156.5,144.5,132.5,120.5,108.5,92.5,80.5,64.5,52.5,32.5,16.5,0.5,-7.5,-11.5,-19.5,-27.5,-23.5,-11.5,-15.5,-19.5,-23.5,-31.5,-39.5,-35.5,-31.5,-27.5,-23.5,-19.5,-19.5,-11.5,-3.5,0.5,4.5,12.5,16.5,33,0
322.5,310.5,298.5,286.5,274.5,262.5,254.5,238.5,226.5,210.5,202.5,186.5,178.5,162.5,150.5,138.5,130.5,114.5,102.5,86.5,70.5,50.5,38.5,18.5,2.5,-13.5,-21.5,-21.5,-21.5,-25.5,-29.5,-21.5,-13.5,-17.5,-25.5,-33.5,-37.5,-45.5,-49.5,-37.5,-29.5,-33.5,-25.5,-21.5,-17.5,-5.5,-5.5,2.5,10.5,10.5,31,0
316.0,304.0,292.0,280.0,272.0,256.0,244.0,232.0,220.0,208.0,196.0,184.0,172.0,156.0,148.0,132.0,124.0,112.0,100.0,84.0,76.0,64.0,52.0,36.0,24.0,4.0,-4.0,-20.0,-28.0,-36.0,-40.0,-40.0,-36.0,-36.0,-44.0,-48.0,-56.0,-68.0,-68.0,-64.0,-64.0,-64.0,-60.0,-60.0,-56.0,-56.0,-56.0,-44.0,-48.0,-40.0,33,0
